id,source_file,record,kind,anchor_code,anchor_status,comment_viable
KF46,packets/physics.md,flat per-axis SYSTEMATIC_FLOOR dict retired,retired,estimate_store_fields.py,EXISTS,yes
KF47,packets/physics.md,fp_gate powered verdict compute-deferred (~37h) - not abandoned,deferred-not-null,layer2/fp_gate_real_extractor.py,EXISTS,yes
KF48,packets/physics.md,FP calibration placeholders are hand-set guesses not fitted,disclosed-unfitted,fp_lap_latent.py; fp_representativeness.py,EXISTS,yes
KF49,packets/compound_prior.md,per-season beta degeneracy #382 - 8/8 seasons non-monotone even at ridge=0,measured-null,build_pooled_compound_prior.py; fit_compound_prior path,EXISTS,yes
KF50,packets/compound_prior.md,race-side gamma-up ladder is CONFOUNDED - not recoverable without a de-confounding design,measured-impossible,compound_prior runtime path,EXISTS,yes
KF51,packets/latent_power.md,legacy BCE/target_mode path removed (#303),removed,module_training_orchestration.py,EXISTS,yes
KF52,packets/evo_predictor.md,DNF_POSITION=21 misclassifies P21 as a DNF on a 21-driver grid,rejected-value,DNF_POSITION constant,EXISTS,yes
KF53,packets/preprocessing.md,"'Removed in #448' - 12 modules (windowed lineage + orphaned utils); do not re-add",removed-do-not-readd,"windowed_estimator.py, windowed_solver/, consensus_stitcher.py, +9",ALL DELETED,NO
KF54,packets/preprocessing.md,artifact.py removed (zero live consumers at deletion),removed-do-not-readd,src/preprocessing/trajectory/artifact.py,DELETED,NO
KF55,packets/reporting.md,retraction: 'whole package is a dead path' claim is no longer true,retracted-map-claim,none (corrects a prior map statement),n/a,NO
KF56,packets/publishing.md,retraction: publishing->simulation/reporting edges were fabricated,retracted-map-claim,none (corrects a prior map edge),n/a,NO
KF57,index.md OSQ,regime_rollup distance-share superseded by #664 TIME-share,superseded-and-DELETED,src/physics/layer2/regime_rollup.py,DELETED at b9248aef,NO
KF58,index.md OSQ,soft_class_membership bridge - zero non-test callers,unwired-and-REMOVED,segment_classifier.soft_class_membership,REMOVED at b9248aef,NO
